,Año,Clave_Ent,Cve. Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
118,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,1,30,0,0,0,0,0,0,0,0,1,0,0,0
122,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,1,28,0,0,1,1,0,0,0,0,0,0,0,2
130,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,1,19,1,0,0,0,0,0,0,0,1,2,0,0
133,0,0,1,37,1,0,0,0,0,0,3,0,0,0,1,0
134,0,0,1,36,0,1,0,0,0,0,0,2,0,0,0,0
135,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,1,29,0,0,0,2,0,2,0,1,1,0,1,0
137,0,0,1,32,1,0,0,0,0,0,1,0,0,0,0,0
138,0,0,1,32,5,12,6,2,1,11,11,6,14,14,7,5
139,0,0,1,32,1,0,0,3,0,0,0,0,0,0,0,0
140,0,0,1,32,0,0,1,0,1,0,0,0,0,1,1,0
141,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,1,32,0,1,2,0,0,0,0,2,2,2,1,1
143,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,1,32,0,3,0,0,2,0,0,1,1,1,0,1
147,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,1,32,1,0,0,0,0,0,0,1,0,0,0,0
150,0,0,1,32,1,1,0,1,0,1,1,3,0,2,3,0
151,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,1,32,0,0,1,0,0,0,0,0,0,0,0,0
158,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,1,32,0,0,0,0,0,0,0,1,0,0,0,0
162,0,0,1,32,5,6,3,2,1,0,8,2,5,1,3,2
163,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,1,32,3,1,3,0,2,1,3,1,3,1,0,2
165,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,1,32,8,3,6,7,1,9,9,6,14,11,16,9
173,0,0,1,17,0,0,2,0,1,1,0,3,2,3,1,1
174,0,0,1,1,1,1,0,0,0,3,0,1,0,0,0,0
175,0,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0
176,0,0,1,8,7,5,14,4,6,11,8,3,11,10,7,10
177,0,0,1,10,0,0,0,2,0,1,3,1,0,0,0,1
178,0,0,1,24,0,0,0,0,2,1,1,0,0,0,0,0
179,0,0,1,39,6,9,6,1,2,2,7,3,9,2,6,3
180,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,1,21,0,0,0,0,0,1,0,0,0,0,0,0
182,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,1,34,0,0,0,0,0,1,0,0,0,0,0,0
185,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,1,23,2,15,7,4,4,3,3,0,2,4,0,2
187,0,0,1,5,7,5,4,5,4,10,8,5,6,8,3,8
188,0,0,1,4,0,1,1,0,0,2,0,3,2,0,1,2
189,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,1,15,1,4,3,2,5,4,2,5,9,4,8,8
192,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1
193,0,0,1,9,0,0,1,0,0,1,0,0,2,0,1,0
194,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,1,27,0,0,0,1,1,2,2,1,2,1,2,3
196,0,0,2,18,0,0,0,0,0,0,0,1,0,0,0,0
